ticker,classification,reasoning,theme
COIN,core,"The company's primary revenue driver and core IP is its cryptocurrency exchange and digital asset custody services, as evidenced by its platform (Onramp) and its role as a major node operator on the Ethereum network. It is heavily invested in blockchain technology and infrastructure for scalability and automation.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
CRCL,core,"Circle's revenue model is built around its stablecoin network (USDC) and expanding into blockchain ecosystem services like tokenized funds, liquidity services, payments, and asset tokenization. This positions them directly within the blockchain ecosystem and digital asset space.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
LSCC,core,"Lattice is the last significant independent FPGA manufacturer, positioning it to capitalize on customer demand for diverse FPGA suppliers, a key area within next-gen computing and advanced semiconductors.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
QCOM,core,"Qualcomm is strategically targeting the rapidly expanding AI market with its new Uno Q SoC and AI200 accelerator chips, positioning them to capitalize on the projected $900 billion addressable market. This directly aligns with the quantum computing, next-gen computing, and advanced semiconductors theme.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
INTC,core,"Significant investment in manufacturing capacity and R&D infrastructure, including a $11 billion chip plant in Israel, demonstrates a commitment to core semiconductor technology. The company's strategic acquisitions further strengthen its supply chain and capabilities in this area.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
AMD,core,"Strategic partnership with OpenAI to develop AI data centers, significant server CPU market share growth driven by performance and efficiency, and acquisitions of Xilinx and ZT Systems expanding into FPGA and custom computing infrastructure, all point to a core focus on AI and high-performance computing, leveraging advanced semiconductors.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
AMAT,core,"Applied Materials is the dominant player in semiconductor processing equipment, indicating its primary revenue driver and IP are directly related to semiconductor manufacturing. The company's strategic focus on semiconductor expansion further reinforces this classification.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
GFS,core,"The company's primary revenue driver and IP is semiconductor manufacturing, which is a core component of next-gen computing and quantum computing. The strategic shift to specialized processes and capacity expansion further supports this classification.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
LRCX,core,"Lam Research's core business is semiconductor manufacturing equipment, utilizing proprietary technologies critical for creating complex semiconductor features. This directly aligns with the Quantum Computing, Next-Gen Computing & Advanced Semiconductors theme.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
SNPS,core,"The company's primary revenue driver and IP is the integration of AI, particularly generative AI, into chip design workflows, as evidenced by its Copilot product with Microsoft Azure OpenAI. This directly supports next-gen computing and advanced semiconductor development.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
ONTO,core,"The company's primary revenue driver and IP is semiconductor equipment, specifically focusing on advanced packaging and lithography technologies. This aligns directly with the Quantum Computing, Next-Gen Computing & Advanced Semiconductors theme.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
AMKR,core,"The company's core business is highly leveraged to the advanced packaging semiconductor industry, which is a key component of next-gen computing and quantum computing. The $2 billion factory investment with TSMC further validates this strategic focus.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
CDNS,core,"The company's strategy heavily focuses on digital twins and AI-driven chip design tools, indicating a core focus on next-gen computing and advanced semiconductors. The investment in AI-driven chip design tools like ChipGPT and Optimality Intelligent System Explorer directly supports this theme.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
MU,core,"Micron's product portfolio, including HBM3E for generative AI, high-capacity SSDs, and GDDR7, positions it favorably in high-growth markets and its HBM3E memory is crucial for AI accelerators, making it highly exposed to the growth and cyclicality of the AI chip market. Its strategic focus on advanced memory solutions for enterprise and data center applications further reinforces its core position within the next-gen computing and advanced semiconductor space.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
ENTG,core,"The company's strategic investment in a new manufacturing facility in Taiwan and acquisition of CMC Materials directly supports semiconductor manufacturing, which is a core component of next-gen computing and advanced semiconductors. The focus on contamination control solutions is also critical for semiconductor manufacturing.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
