theme,query,p_at_10,p_at_20,rr_at_10
AI Hardware,artificial intelligence hardware acceleration,0.1,0.1,0.5
Cloud Infrastructure,hyperscale cloud infrastructure,0.4,0.2,0.2
Enterprise AI Software,business intelligence automation platforms,0.1,0.1,0.2
Data Center Cooling,thermal management data centers,0.1,0.1,0.1111111111111111
Solar Energy,photovoltaic energy generation,0.0,0.0,0.0
Nuclear Power,fission reactor electricity utilities,0.4,0.2,0.25
Energy Storage,electrical grid stabilization technology,0.1,0.1,0.1
Wind Energy,offshore renewable power generation,0.3,0.15,1.0
Electric Vehicles,battery powered passenger vehicles,0.4,0.2,1.0
Autonomous Driving,self driving sensor technology,0.2,0.15,0.5
Digital Payments,electronic transaction processing,0.4,0.3,0.5
BNPL,installment lending platforms,0.0,0.0,0.0
Crypto Trading,digital asset trading platforms,0.2,0.15,0.16666666666666666
Cybersecurity,enterprise threat prevention systems,0.1,0.05,0.14285714285714285
Zero Trust,identity verification access management,0.1,0.05,1.0
Digital Health,remote patient care technology,0.0,0.1,0.0
Quantum Computing,superposition based computing,0.2,0.1,0.3333333333333333
HPC,parallel processing supercomputers,0.0,0.0,0.0
Robotics & Automation,industrial process automation,0.1,0.2,0.25
Warehouse Automation,fulfillment center optimization,0.0,0.05,0.0
Metaverse & Gaming,immersive digital environments,0.1,0.05,0.25
Gaming & Esports,competitive gaming platforms,0.1,0.2,0.25
Hotels,hospitality accommodation services,0.0,0.0,0.0
Airlines,commercial passenger aviation,0.2,0.15,0.5
Big Box Retail,discount wholesale retail operations,0.2,0.1,0.25
Fast Food,quick service dining franchises,0.1,0.05,0.16666666666666666
Home Improvement,residential construction supplies retail,0.3,0.25,1.0
5G & Edge Computing,wireless network infrastructure,0.4,0.3,1.0
Semiconductor Equipment,chip fabrication equipment,0.5,0.25,0.3333333333333333
Memory & Storage,data storage solutions,0.3,0.15,1.0
AI Infrastructure Stack,machine learning infrastructure stack,0.0,0.0,0.0
Precision Medicine,precision medicine technology,0.0,0.05,0.0
